,CASE_ID,COLLISION_DATE_DT,COLLISION_SEVERITY,CITY,POINT_X,POINT_Y,geometry,AT_FAULT,PARTY_SEX,PARTY_AGE,RACE,LIGHTING,DAY_OF_WEEK,WEATHER_1,PRIMARY_COLL_FACTOR,PED_ACTION,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,PRIMARY_RD,SECONDARY_RD,road_class_id,route_id,road_class,road_class_name,island_id,networkLinkId,volume,volume_road_name,signal_id,traffic_signals
93,9762995,2024-12-02,4,OAKLAND,-122.19139099121094,37.77083969116211,POINT (-13602283.424463397 4547103.535388617),N,M,40,H,A,1,A,A,B,0,1,SEMINARY AV,BANCROFT AV,492645,ALA_OAK_SEMINARY AVE_P,4,minor arterial,,16991536905218827964,674729.1760592993,Seminary Avenue,,
94,9744873,2024-07-29,3,OAKLAND,-122.19078063964844,37.771270751953125,POINT (-13602215.480438255 4547164.240790657),N,M,59,B,A,1,B,A,E,0,1,SEMINARY AV,FORTUNE WY,491499,ALA_OAK_FORTUNE WAY_P,7,local,,14706388224501589018,51162.18438649149,Fortune Way,,
94,9744873,2024-07-29,3,OAKLAND,-122.19078063964844,37.771270751953125,POINT (-13602215.480438255 4547164.240790657),N,M,59,B,A,1,B,A,E,0,1,SEMINARY AV,FORTUNE WY,491499,ALA_OAK_FORTUNE WAY_P,7,local,,10997697627197523031,562850.745262947,Seminary Avenue,,
95,9590040,2023-03-05,3,OAKLAND,-122.2130126953125,37.77138900756836,POINT (-13604690.341554064 4547180.894546883),N,M,14,H,C,7,C,A,B,0,1,INTERNATIONAL BL,45TH AV,770269,ALA_OAK_45TH AVE_P,7,local,way/986741002,13888352175827691391,9323.702362790613,45th Avenue,node/53087381,signal
96,9797220,2025-01-24,3,OAKLAND,-122.21617889404295,37.77138900756836,POINT (-13605042.80118449 4547180.894546883),N,M,51,H,C,5,A,A,B,0,1,HIGH ST,12TH ST,478886,ALA_ALA_HIGH ST_P,3,other principal arterial,,6711205909998884849,717372.9011832416,High Street,node/53005416,traffic_lights
97,9790963,2025-01-20,2,OAKLAND,-122.20977020263672,37.771766662597656,POINT (-13604329.388920495 4547234.079301566),N,M,46,,C,1,A,A,B,0,1,47TH AV,BANCROFT AV,490702,ALA_OAK_BANCROFT AVE_P,4,minor arterial,,6273953955880584902,682235.8440085729,Bancroft Avenue,,
98,9885404,2025-02-13,2,OAKLAND,-122.20703125,37.771774291992195,POINT (-13604024.490107669 4547235.153743854),N,M,14,H,C,4,C,A,B,0,1,50TH AV,BANCROFT AV,490702,ALA_OAK_BANCROFT AVE_P,4,minor arterial,,15152541756749758622,111723.21950565922,Bancroft Avenue,,
99,9590835,2023-01-21,4,OAKLAND,-122.20702362060548,37.77179336547851,POINT (-13604023.640807359 4547237.839850057),N,F,62,B,A,6,A,A,C,0,1,50TH AV,BANCROFT,490702,ALA_OAK_BANCROFT AVE_P,4,minor arterial,,15152541756749758622,111723.21950565922,Bancroft Avenue,,
100,9592530,2023-01-25,4,OAKLAND,-122.20821380615234,37.77199935913086,POINT (-13604156.131656382 4547266.849841219),N,M,24,H,A,3,A,A,B,0,1,BOND ST,48TH AV,752844,ALA_OAK_48TH AVE_P,7,local,,4737541807740871434,44802.07424778329,48th Avenue,,
101,9554186,2023-02-04,4,OAKLAND,-122.21482849121094,37.7723503112793,POINT (-13604892.475028863 4547316.27445675),N,M,48,H,C,6,C,A,B,0,1,INTERNATIONAL BL,HIGH ST,478886,ALA_ALA_HIGH ST_P,3,other principal arterial,,,,,node/312078501,traffic_lights
102,9714447,2024-03-23,4,OAKLAND,-122.21482849121094,37.7723503112793,POINT (-13604892.475028863 4547316.27445675),N,M,45,B,C,6,A,D,D,0,1,HIGH ST,INTERNATIONAL BL,478886,ALA_ALA_HIGH ST_P,3,other principal arterial,,,,,node/312078501,traffic_lights
103,9802144,2025-02-06,4,OAKLAND,-122.19593048095705,37.7725715637207,POINT (-13602788.758150393 4547347.433574066),N,M,72,B,C,4,C,A,B,0,1,FOOTHILL BL,TRASK ST,492844,ALA_OAK_TRASK ST_P,7,local,,1865976808563347189,16934.693239187654,55th Avenue,node/53059505,signal
104,9676003,2023-11-29,4,OAKLAND,-122.21198272705078,37.77263259887695,POINT (-13604575.686011638 4547356.029209043),N,M,32,H,A,3,A,A,B,0,1,45TH AV,BANCROFT AV,490702,ALA_OAK_BANCROFT AVE_P,4,minor arterial,,5613431967136037663,728122.107829543,Bancroft Avenue,,
105,9707491,2024-03-27,3,OAKLAND,-122.20079803466795,37.77264022827149,POINT (-13603330.611750903 4547357.103663916),N,F,61,B,C,3,C,A,B,0,1,FOOTHILL BL,FAIRFAX AV,491490,ALA_OAK_FOOTHILL BLVD_P,4,minor arterial,,5937843267912155954,11513.002946462184,Fairfax Avenue,node/53034243,signal
106,9730626,2024-08-16,4,OAKLAND,-122.2351531982422,37.78424072265625,POINT (-13607155.011066109 4548990.940564419),N,M,1,H,A,5,A,A,B,0,1,23RD AV,15TH ST,491219,ALA_OAK_E 15TH ST_P,7,local,,18175147794087773246,18077.568332491806,East 15th Street,,
107,9751070,2024-10-19,4,OAKLAND,-122.23787689208984,37.78459167480469,POINT (-13607458.211278303 4549040.373365143),N,M,52,,C,6,A,A,F,0,1,22ND AV,INTERNATIONAL BL,490253,ALA_OAK_22ND AVE_P,5,major collector,,4172457289823503439,2033651.6733369334,22nd Avenue,node/53087346,signal
108,9571333,2023-03-24,3,OAKLAND,-122.234130859375,37.785186767578125,POINT (-13607041.204823993 4549124.194737636),N,F,28,H,A,5,A,A,B,0,1,23RD ST,FOOTHILL BL,772004,ALA_OAK_23RD AVE_P,4,minor arterial,,528977111067773599,387277.2581000033,23rd Avenue,,
109,9796573,2025-02-11,2,OAKLAND,-122.23709869384766,37.785400390625,POINT (-13607371.582646247 4549154.284625726),N,F,75,A,B,2,A,A,D,0,1,15TH ST,22ND AV,491219,ALA_OAK_E 15TH ST_P,7,local,,12046980332715448872,18024.65837639671,East 15th Street,,
110,9630864,2023-08-23,3,OAKLAND,-122.22206878662108,37.78542709350586,POINT (-13605698.461027114 4549158.045867853),N,F,18,H,A,3,A,A,B,0,1,E 23RD ST,FRUITVALE AV,491515,ALA_OAK_FRUITVALE AVE_P,3,other principal arterial,,15462208873010029016,173426.02851099387,East 23rd Street,,
111,9771182,2024-12-20,4,OAKLAND,-122.22895050048828,37.785789489746094,POINT (-13606464.529910598 4549209.091431091),N,F,43,B,A,5,-,A,B,0,1,E 20TH ST,25TH AV,491255,ALA_OAK_E 20TH ST_P,7,local,,14746247486528251998,25932.855010344723,East 20th Street,,
112,9470552,2023-06-18,3,OAKLAND,-122.23629760742188,37.78623962402344,POINT (-13607282.406113246 4549272.4957424),N,F,51,B,A,7,A,A,B,0,1,FOOTHILL BL,22ND AV,490253,ALA_OAK_22ND AVE_P,5,major collector,,559892101290178692,849644.4868596126,22nd Avenue,node/53073060,signal
113,9745396,2024-07-25,4,OAKLAND,-122.2410125732422,37.78644561767578,POINT (-13607807.273707474 4549301.5114035),N,M,26,H,A,4,A,A,B,0,1,19TH AV,INTERNATIONAL BL,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,10219589371889861593,35435.38162952329,19th Avenue,,
114,9792139,2024-07-28,4,OAKLAND,-122.24386596679688,37.786903381347656,POINT (-13608124.912025012 4549365.990939954),N,F,18,H,D,7,A,A,E,0,1,17TH AV,E 12TH ST,491211,ALA_OAK_E 12TH ST_P,4,minor arterial,,9191585362851441193,69201.81340938022,17th Avenue,,
115,9766499,2024-04-23,4,OAKLAND,-122.24205780029295,37.78707504272461,POINT (-13607923.627850525 4549390.170869096),N,F,28,W,C,2,A,A,E,0,1,18TH AV,INTERNATIONAL BL,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,62330711469730750,903804.1703739397,International Boulevard,,
116,9778234,2023-01-03,4,OAKLAND,-122.22743225097656,37.78737258911133,POINT (-13606295.519148054 4549432.082879331),N,M,50,O,A,2,A,A,-,0,1,E 22ND ST,25TH AV,491260,ALA_OAK_E 22ND ST_P,7,local,,462787267399653114,72787.18849329276,East 22nd Street,,
117,9761602,2024-12-04,3,OAKLAND,-122.23841857910156,37.78749084472656,POINT (-13607518.511600617 4549448.740263595),N,F,26,H,A,3,A,A,B,0,1,20TH AV,FOOTHILL BL,491490,ALA_OAK_FOOTHILL BLVD_P,4,minor arterial,,,,,,
118,9755765,2024-10-02,4,OAKLAND,-122.24494171142578,37.787506103515625,POINT (-13608244.663369326 4549450.889605442),N,M,37,A,C,3,A,A,E,0,1,E 12TH ST,16TH AV,491211,ALA_OAK_E 12TH ST_P,4,minor arterial,,2740990704336423276,2166177.6941633904,16th Avenue,,
119,9803248,2025-02-17,3,OAKLAND,-122.2431182861328,37.787723541259766,POINT (-13608041.680594211 4549481.517774979),Y,F,33,B,A,1,A,A,D,0,1,INTERNATIONAL BL,17TH AV,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,14257385043744962453,294050.2304006555,17th Avenue,,
120,9661085,2023-11-20,3,OAKLAND,-122.23575592041016,37.78853225708008,POINT (-13607222.105790932 4549595.43386313),N,M,48,O,A,1,A,A,B,0,1,21ST AV,E 19TH ST,491252,ALA_OAK_E 19TH ST_P,7,local,,2554110517831881559,3454.541206683175,East 19th Street,,
121,9718443,2024-03-23,3,OAKLAND,-122.2423095703125,37.7885627746582,POINT (-13607951.6547609 4549599.732607849),N,F,30,W,C,6,A,A,B,0,1,17TH AVE,E 15TH ST,491219,ALA_OAK_E 15TH ST_P,7,local,,8517072677830887983,12544.265595180426,East 15th Street,,
122,9470001,2023-01-19,4,OAKLAND,-122.23169708251952,37.788719177246094,POINT (-13606770.278023735 4549621.763702389),N,F,45,H,B,4,A,A,F,0,1,E 21ST ST,23RD AV,491258,ALA_OAK_E 21ST ST_P,5,major collector,,487263904035279660,191006.20126416307,East 21st Street,,
123,9740392,2024-06-16,4,OAKLAND,-122.23091888427734,37.78947067260742,POINT (-13606683.649391681 4549727.621075245),N,M,75,W,A,7,A,A,C,0,1,E 22ND ST,23RD AV,491260,ALA_OAK_E 22ND ST_P,7,local,,13760436855360743656,23059.264447415833,East 22nd Street,,
124,9718246,2024-06-21,4,OAKLAND,-122.24259185791016,37.78999328613281,POINT (-13607983.07887253 4549801.238258549),N,F,60,H,A,5,A,A,D,0,1,FOOTHILL BL,16TH AV,491490,ALA_OAK_FOOTHILL BLVD_P,4,minor arterial,,8213553199204159185,147908.8177594384,16th Avenue,,
125,9680539,2023-10-21,4,OAKLAND,-122.22003936767578,37.79054260253906,POINT (-13605472.547143519 4549878.617465032),N,F,60,W,A,6,A,A,B,0,1,FRUITVALE AV,E 27TH ST,491275,ALA_OAK_E 27TH ST_P,7,local,,16968846317722825416,14584.684512151356,East 27th Street,,
126,9886176,2025-07-05,2,OAKLAND,-122.24716949462892,37.78988265991211,POINT (-13608492.659061098 4549785.655015721),N,M,39,W,C,6,A,A,E,0,1,INTERNATIONAL BL,13TH AV,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,5529720797737225119,27801.795316804557,13th Avenue,,
127,9756249,2024-09-20,3,OAKLAND,-122.24716186523438,37.78988265991211,POINT (-13608491.809760783 4549785.655015721),Y,M,56,A,A,5,A,A,B,0,1,13TH AV,INTERNATIONAL BL,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,5529720797737225119,27801.795316804557,13th Avenue,,
128,9715967,2024-01-31,4,OAKLAND,-122.24799346923828,37.79058074951172,POINT (-13608584.383495038 4549883.991042399),N,F,19,B,C,3,C,A,C,0,1,INTERNATIONAL AV,12TH AV,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,14765226280737590849,29862.28123867312,12th Avenue,,
129,9742223,2024-08-02,4,OAKLAND,-122.24884033203124,37.79133224487305,POINT (-13608678.655829921 4549989.851082173),N,F,24,B,D,5,A,D,B,0,1,INTERNATIONAL BL,11TH AV,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,781368249130875924,1060649.119082778,International Boulevard,,
130,9616893,2023-06-07,3,OAKLAND,-122.25230407714844,37.79287338256836,POINT (-13609064.238172606 4550206.948135893),N,F,998,A,A,3,B,D,B,0,1,E 12TH ST,8TH AV,491211,ALA_OAK_E 12TH ST_P,4,minor arterial,,2287090152486526164,17013.070406292813,8th Avenue,,
131,9619862,2023-11-19,4,OAKLAND,-122.25125885009766,37.79350280761719,POINT (-13608947.88402955 4550295.615314196),N,F,71,,A,7,A,A,B,0,1,8TH AV,INTERNATIONAL BL,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,,,,,
132,9694211,2023-11-29,4,OAKLAND,-122.25125885009766,37.79350280761719,POINT (-13608947.88402955 4550295.615314196),N,M,64,A,A,3,B,A,B,0,1,INTERNATIONAL BL,8TH AV,772193,ALA_OAK_INTERNATIONAL BLVD_P,3,other principal arterial,,,,,,
133,9614023,2023-06-15,4,OAKLAND,-122.25669097900392,37.79370880126953,POINT (-13609552.58585332 4550324.63382752),N,M,73,A,A,4,A,A,B,0,1,E 10TH ST,5TH AV,491447,ALA_OAK_E 10TH ST_P,5,major collector,,2969495886142409799,15429.036699979162,East 10th Street,,
134,9675601,2023-11-02,4,OAKLAND,-122.25397491455078,37.794342041015625,POINT (-13609250.234941434 4550413.839393643),N,M,51,,A,4,A,A,F,0,1,E 12TH ST,6TH AV,491211,ALA_OAK_E 12TH ST_P,4,minor arterial,,3967652398951452202,364627.944930212,East 12th Street,,
135,9786198,2024-12-12,1,OAKLAND,-122.24948120117188,37.79485321044922,POINT (-13608749.997056322 4550485.8492637705),N,F,68,A,C,4,B,A,B,1,0,FOOTHILL BL,8TH AV,491490,ALA_OAK_FOOTHILL BLVD_P,4,minor arterial,,13838527908054776202,362721.4906788624,8th Avenue,,
136,9714728,2023-10-16,4,OAKLAND,-122.2600326538086,37.7901725769043,POINT (-13609924.579390971 4549826.493908539),N,M,41,H,A,1,A,A,E,0,1,EMBARCADERO,5TH AV,490433,ALA_OAK_5TH AVE_P,4,minor arterial,,8132378444620618951,96087.33325652657,5th Avenue,node/13302763988,
136,9714728,2023-10-16,4,OAKLAND,-122.2600326538086,37.7901725769043,POINT (-13609924.579390971 4549826.493908539),N,M,41,H,A,1,A,A,E,0,1,EMBARCADERO,5TH AV,490433,ALA_OAK_5TH AVE_P,4,minor arterial,,12268999639985438509,55221.40090097002,Embarcadero,node/13302763988,
137,9678290,2023-12-09,4,OAKLAND,-122.26631927490234,37.79551696777344,POINT (-13610624.402849937 4550579.355361048),N,M,80,B,B,6,A,A,B,0,1,6TH ST,OAK ST,582991,RAMP_123982_P,1,interstate,,5320570098165238117,235507.20808919368,Oak Street,node/13196888786,signal
138,9670515,2024-01-05,3,OAKLAND,-122.25914001464844,37.79593276977539,POINT (-13609825.211254202 4550637.931447669),N,F,43,B,A,5,-,A,E,0,1,E 10TH ST,2ND AV,490304,ALA_OAK_2ND AVE_P,7,local,,18409402456471800112,421878.16480469337,East 10th Street,,
139,9670515,2024-01-05,3,OAKLAND,-122.25914001464844,37.79593276977539,POINT (-13609825.211254202 4550637.931447669),N,M,3,B,A,5,-,A,E,0,0,E 10TH ST,2ND AV,490304,ALA_OAK_2ND AVE_P,7,local,,18409402456471800112,421878.16480469337,East 10th Street,,
